period,first_singular_ratio,first_plural_ratio,second_ratio,third_singular_ratio,third_plural_ratio,pronoun_density,total_pronouns,total_words
2006,0.48028442146089206,0.053652230122818355,0.12281835811247575,0.2572721396250808,0.08597285067873303,7.313383444428687,1547,21153
2007,0.383948587655059,0.05843670602301599,0.15692721566283066,0.28097444328202065,0.11971304737707368,6.26791569086651,6691,106750
2008,0.38391924817264184,0.0715280194918204,0.14705882352941177,0.269926905673512,0.127567003132614,6.599894328179917,5746,87062
2009,0.40059249506254113,0.07537853851217907,0.12146148782093483,0.28900592495062544,0.11356155365371955,5.96387907341971,3038,50940
2010,0.40913705583756343,0.0868020304568528,0.1284263959390863,0.250253807106599,0.12538071065989848,6.6379136060381425,1970,29678
2011,0.3430454387790496,0.08775580992022199,0.13215400624349635,0.331945889698231,0.10509885535900104,8.668851670325044,2883,33257
2012,0.4327938071780436,0.09148486980999296,0.11611541168191415,0.24349049964813513,0.11611541168191415,6.070833511342761,1421,23407
2013,0.36798582398109864,0.07855877141169522,0.13585351447135263,0.3142350856467809,0.10336680448907265,6.090585314962047,1693,27797
2014,0.30425963488843816,0.11460446247464504,0.18052738336713997,0.24949290060851928,0.1511156186612576,6.558903745094126,986,15033
2015,0.32894736842105265,0.17763157894736842,0.08771929824561403,0.2807017543859649,0.125,6.712792580597673,456,6793
2016,0.30892143808255657,0.11318242343541944,0.18242343541944075,0.24633821571238348,0.14913448735019974,8.05793991416309,751,9320
2017,0.33653846153846156,0.1201923076923077,0.14423076923076922,0.2692307692307692,0.12980769230769232,6.308765544434334,208,3297
2018,0.16574585635359115,0.13259668508287292,0.13259668508287292,0.35911602209944754,0.20994475138121546,8.78640776699029,181,2060
2020,0.18863636363636363,0.07272727272727272,0.05909090909090909,0.6227272727272727,0.056818181818181816,10.133578995854444,440,4342
2021,0.39926062846580407,0.07208872458410351,0.053604436229205174,0.38817005545286504,0.08687615526802218,11.567243959803292,541,4677
2022,0.33578431372549017,0.1053921568627451,0.1090686274509804,0.34558823529411764,0.10416666666666667,6.283690127829971,816,12986
2023,0.3344768439108062,0.15780445969125215,0.07204116638078903,0.24013722126929674,0.1955403087478559,7.076101468624834,583,8239
2024,0.31954887218045114,0.09962406015037593,0.1231203007518797,0.29229323308270677,0.16541353383458646,6.688038217361242,1064,15909
2025,0.3234244946492271,0.21521997621878716,0.0558858501783591,0.2259215219976219,0.17954815695600476,7.532467532467532,841,11165
